wallsMaterial;floorNumber;floorsTotal;totalArea;kitchenArea;latitude;longitude;price
monolith;2;12;84;2016;43.215617;76.903074;377 536
monolith;3;10;124.2;2016;43.215617;76.903074;281 804
monolith;3;10;124.2;2016;43.215617;76.903074;281 804
block;6;9;58;2005;43.214362;76.854151;293 104
block;8;9;58.6;2005;43.21287;76.854358;281 570
block;7;9;58.6;2005;43.21287;76.854349;319 113
block;2;5;40.8;2006;43.36206;76.992088;210 785
block;9;12;56.2;2015;43.223474;76.89498;291 799
block;6;12;51.9;2015;43.223297;76.894315;325 000
block;9;21;83.6;2012;43.247349;76.869629;256 705
block;1;4;34.8;2013;43.278841;76.826618;258 621
block;2;5;50.3;2015;43.332781;76.948322;220 000
block;8;17;33.3;2009;43.206773;76.885009;450 451
block;5;5;35.2;2015;43.333732;76.948879;220 000
block;3;12;61.3;2015;43.204354;76.871309;288 000
block;8;12;69.8;2015;43.203152;76.871767;288 000
block;9;12;41.8;2015;43.223297;76.894315;320 000
block;15;18;73.5;2011;43.245399;76.876942;249 143
block;11;12;51.2;2015;43.223474;76.894971;320 000
block;1;5;52;2015;43.20536;76.858418;220 000
block;4;5;59.1;2011;43.279288;76.820231;232 657
block;6;12;55.2;2015;43.223297;76.894315;335 000
block;12;12;55.6;2015;43.223474;76.894971;323 742
block;1;17;66.1;2014;43.21241;76.844459;316 188
block;12;12;85;2015;43.223474;76.894971;313 648
block;1;9;36;2015;43.266737;76.892527;230 000
block;1;9;34.4;2015;43.26639;76.892483;230 000
block;11;12;51.9;2015;43.223297;76.894315;320 000
block;1;5;52.1;2015;43.333725;76.94887;220 000
block;10;12;41.7;2015;43.223297;76.894315;323 837
block;5;5;33.9;2015;43.333384;76.948654;220 000
block;9;12;40.9;2015;43.223474;76.894971;320 000
block;12;21;64.6;2011;43.247237;76.868426;247 679
block;4;9;67.5;2011;43.249956;76.895393;230 000
block;9;9;71.8;2011;43.249956;76.895393;239 611
block;12;12;82.7;2015;43.204137;76.872118;280 000
block;8;9;108.7;2011;43.268825;76.962919;363 202
block;3;9;55.8;2015;43.26639;76.892483;230 000
block;8;12;59.9;2015;43.203152;76.871767;286 692
block;2;6;37.6;2013;43.300431;76.835404;159 575
block;17;2;110.7;2013;43.212108;76.843093;289 070
block;2;9;56.4;2005;43.265352;76.89993;230 497
block;9;17;68.5;2016;43.213777;76.872531;300 000
block;7;9;76.2;2015;43.266737;76.892527;230 000
block;5;17;46.1;2016;43.213777;76.872531;300 000
block;5;21;118.1;2011;43.247237;76.868426;241 731
block;3;10;52.3;2007;43.225537;76.890237;286 807
block;8;9;75.2;2015;43.26639;76.892483;230 000
block;4;12;80.5;2015;43.203631;76.872297;167 702
block;3;9;51;2011;43.249956;76.895393;319 608
block;7;9;78.1;2015;43.26639;76.892483;230 001
block;10;17;46.6;2016;43.213777;76.87254;300 000
block;3;6;95.1;2011;43.19376;76.909389;440 589
block;3;16;71.4;2013;43.207219;76.885808;376 751
block;1;9;79.7;2014;43.266028;76.892141;181 933
block;9;12;133.5;2015;43.204354;76.8713;248 664
block;15;17;69.1;2016;43.213777;76.872531;280 000
block;6;6;112.7;2012;43.225872;76.843866;230 701
block;6;10;37.8;2017;43.265884;76.961374;340 353
block;9;12;35.5;2015;43.270565;76.839715;338 029
block;11;12;75.4;2013;43.243527;76.853406;305 040
block;12;17;46.5;2016;43.213777;76.872531;300 000
block;2;9;56.4;2006;43.214723;76.849049;342 199
block;8;17;72.4;2015;43.236408;76.892698;310 000
block;5;17;87.3;2015;43.235948;76.89277;330 000
block;8;9;79.9;2005;43.21287;76.854349;285 357
block;13;17;68.8;2016;43.213777;76.872531;300 000
block;2;17;89.7;2015;43.235935;76.892752;310 000
block;13;17;114.1;2013;43.212246;76.843839;236 635
block;15;17;82.1;2009;43.206773;76.885;356 882
block;7;13;50.4;2015;43.273105;76.929403;360 000
block;7;10;37.8;2017;43.265904;76.961356;410 053
block;6;9;119.2;2014;43.225412;76.954691;412 408
block;11;13;53.1;2015;43.261335;76.930894;357 816
block;9;10;42.8;2017;43.265884;76.961374;327 103
block;6;13;47.2;2015;43.261335;76.930894;370 000
block;2;3;44.1;2012;43.287262;76.923187;256 236
